I01156002 I01131006
I01197002 I00835006
I01219002 I00857009
I01231004 I00869002
I01233003 I00871005
I01237007 I00875002
I01238005 I00876004
I01240002 I00878002
I01255007 I00893006
I01282005 I00920002
I01291005 I00929002
I01292004 I00955005
I01292007 I00930002
I01293004 I00931002
I01295002 I00933002
I01301006 I00939002
I01304006 I00967002
I01305006 I00943004
I01317013 I00955005
I01328002 I00991002
I01329005 I00967002
I01330006 I00968006
I01345002 I00983002
I01350002 I00988002
I01360002 I00998002
I01372002 I01347002
I01380002 I01018006
I01380002 I01043002
I01387002 I01025002
I01389002 I01052005
I01397002 I01372002
I01402006 I01040002
I01405007 I01043002
I01415002 I01390002
I01433006 I01096002
I01447003 I01422004
I01448006 I01086002
I01457006 I01120002
I01458007 I01096002
I01464009 I01102005
I01464009 I01127005
I01511006 I01149002
I01514008 I01152002
I01784005 I01759005
I01917025 I01555006
I01989006 I01627002
I02001005 I01639004
I02038005 I01676044
I02108002 I01746003
I02112003 I01750005
I02122002 I01760007
I02134003 I01772002
I02148002 I01786006
I02149006 I01787006
I02183002 I01821003
I02186002 I01824003
I02189002 I01827002
I02190002 I01828002
I02195002 I01833002
I02196002 I01834005
I02198002 I01836004
I02205002 I01843003
I02207002 I01845007
I02208003 I01846003
I02209002 I01847003
I02211002 I01849007
I02214002 I01852006
I02215002 I01853003
I02218006 I01856006
I02234006 I01872002
I02240002 I01878005
I02242002 I01880003
I02244002 I01882006
I02246002 I01884003
I02248002 I01886006
I02251002 I01889002
I02254014 I01867002
I02255019 I01893006
I02283003 I01921027
I02298010 I01936004
I02301004 I01939005
I02308006 I01946002
I02310002 I01948003
I02314006 I01952003
I02315006 I01953002
I02317005 I01955004
I02329002 I01967010
I02341002 I01979002
I02347002 I01985008
I02400002 I02038005
I02401002 I02039006
I02458002 I02433006
I02478023 I02116002
I02490002 I02128002
I02503002 I02141002
I02510002 I02148002
I02543002 I02181005
I02575002 I02213002
I02606002 I02244002
I02625002 I02263022
I02628002 I02266007
I02640002 I02278004
I02668018 I02306002
I02670026 I02308006
I02672018 I02310002
I02676021 I02314006
I02677017 I02290002
I02678017 I02316006
I02736006 I02374003
I02776002 I02414002
I02777002 I02415002
I02778002 I02416002
I02779002 I02417002
I02788019 I02426002
I02789032 I02402002
I02790026 I02428002
I02791026 I02429002
I02793026 I02431002
I02795031 I02433006
I02796022 I02434002
I02797023 I02435003
I02979002 I02617002
I02995002 I02608006
I03002002 I02640002
I03130002 I02768002
I03144003 I02782002
I03163017 I02801002
I03188002 I02801002
I03394006 I03032032
I03524002 I03162029
I03611005 I03249019
I03736020 I03349006
I03737017 I03350002
I03743028 I03381006
I03765002 I03403022
I03861002 I03499028
I03930002 I03568002
I04229022 I03842002
I04234002 I03847029
I04235006 I03848028
I04236006 I03849028
I04480002 I04093029
I04482002 I04095028
I04485002 I04098029
I04486002 I04099028
I04609005 I04222025
I04611002 I04224026
I04612002 I04225025
I04614002 I04227029
I04618005 I04231029
I04714019 I04327002
I04733006 I04346019
I04734003 I04347019
I04735004 I04348023
I04738005 I04351019
I04741005 I04354019
I04815002 I04428002
I04825028 I04438002
I04827026 I04440002
I04836002 I04474014
I04837002 I04475013
I04845002 I04820014
I04846005 I04821013
I04849006 I04824014
I04850006 I04825013
I04865002 I04478002
I04876002 I04489009
I04877002 I04490002
I04894002 I04507002
I04938022 I04551002
I04940029 I04553002
I04942028 I04555002
I04950002 I04563006
I04955002 I04568003
I04964002 I04577008
I04975002 I04613003
I04975002 I04588029
I04979002 I04592023
I04984003 I04597025
I04987008 I04625005
I04989008 I04602002
I04990008 I04603003
I04991012 I04604002
I04992008 I04605006
I04993009 I04606002
I05000008 I04613003
I05001011 I04614002
I05005011 I04618005
I05023002 I04636002
I05026002 I04639002
I05049003 I04662002
I05050002 I04663002
I05057002 I04695002
